,year,month,day,Date,DateTime,hora_inicio,cantidad_pasos,sentido_prov,vehiculo_liv,weekday,season,hour,holiday,non_working,time_of_day
135,2017,1,6,2017-01-06,2017-01-06 15:00:00,15,3689.0,0.4,0.26666666666666666,Friday,Summer,15,0,working,afternoon
136,2017,1,6,2017-01-06,2017-01-06 16:00:00,16,3595.0,0.4666666666666667,0.26666666666666666,Friday,Summer,16,0,working,evening
137,2017,1,6,2017-01-06,2017-01-06 17:00:00,17,3656.0,0.38461538461538464,0.3076923076923077,Friday,Summer,17,0,working,evening
138,2017,1,6,2017-01-06,2017-01-06 18:00:00,18,3461.0,0.4666666666666667,0.26666666666666666,Friday,Summer,18,0,working,evening
139,2017,1,6,2017-01-06,2017-01-06 19:00:00,19,2511.0,0.4375,0.25,Friday,Summer,19,0,working,evening
140,2017,1,6,2017-01-06,2017-01-06 20:00:00,20,2517.0,0.46153846153846156,0.3076923076923077,Friday,Summer,20,0,working,evening
141,2017,1,6,2017-01-06,2017-01-06 21:00:00,21,2096.0,0.38461538461538464,0.3076923076923077,Friday,Summer,21,0,working,evening
142,2017,1,6,2017-01-06,2017-01-06 22:00:00,22,1615.0,0.5384615384615384,0.3076923076923077,Friday,Summer,22,0,working,night
143,2017,1,6,2017-01-06,2017-01-06 23:00:00,23,1170.0,0.4166666666666667,0.3333333333333333,Friday,Summer,23,0,working,night
144,2017,1,7,2017-01-07,2017-01-07 00:00:00,0,1064.0,0.375,0.5,Saturday,Summer,0,0,non-working,night
145,2017,1,7,2017-01-07,2017-01-07 01:00:00,1,841.0,0.45454545454545453,0.36363636363636365,Saturday,Summer,1,0,non-working,night
146,2017,1,7,2017-01-07,2017-01-07 02:00:00,2,657.0,0.3333333333333333,0.3333333333333333,Saturday,Summer,2,0,non-working,night
147,2017,1,7,2017-01-07,2017-01-07 03:00:00,3,510.0,0.45454545454545453,0.36363636363636365,Saturday,Summer,3,0,non-working,night
148,2017,1,7,2017-01-07,2017-01-07 04:00:00,4,642.0,0.45454545454545453,0.36363636363636365,Saturday,Summer,4,0,non-working,night
